# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# Q_ORDER=64
# Q_ID=250
# STRUCTURE=C2 x C2 x D16
# Q_PC_RELATIVE_ORDERS=2,2,2,2,2,2
# COVER_ORDER=4096
# PC_CONVERSION_KERNEL_ORDER=1
# COVER_TO_Q_KERNEL_ORDER=64
# COVER_KERNEL_CENTRAL=true
# COVER_KERNEL_IN_DERIVED=true
# EXTERIOR_ORDER=256
# EXTERIOR_RELATIVE_ORDERS=2,2,2,2,2,8
# ACTION_COUNT=12
# AUTOMORPHISM_GENERATOR_COUNT=9
# COMMUTATOR_ROW_COUNT=64
ACTIONS
action_index	image_vectors	q_conjugation
29	1,0,0,1,1,0	0,0,0,0,0,0;0,1,0,0,0,2;0,0,1,0,1,7;0,0,0,0,1,4;0,1,0,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,1,1,0,1,5;0,1,0,0,1,6;0,0,0,0,0,2;0,1,0,0,0,0;0,1,0,0,0,6;0,0,1,0,0,3;0,1,1,0,1,7;0,0,1,0,1,5;0,0,1,0,1,3;0,1,0,0,1,4;0,0,0,0,1,2;0,0,0,0,1,0;0,1,0,0,0,6;0,1,0,0,0,4;0,0,0,0,0,2;0,1,1,0,0,1;0,0,1,0,1,5;0,1,1,0,1,3;0,1,1,0,1,1;0,0,0,0,1,6;0,1,0,0,1,4;0,1,0,0,1,2;0,0,0,0,0,0;0,0,0,0,0,6;0,1,0,0,0,4;0,1,1,0,0,3;0,0,1,0,0,1;0,0,1,0,0,7;0,1,1,0,1,5;0,1,1,0,1,3;0,0,1,0,1,1;0,1,0,0,1,2;0,1,0,0,1,0;0,0,0,0,1,6;0,1,0,0,0,2;0,0,1,0,0,1;0,1,1,0,0,7;0,1,1,0,0,5;0,0,1,0,1,3;0,0,1,0,1,1;0,1,1,0,1,7;0,0,0,0,1,4;0,0,0,0,1,2;0,1,0,0,1,0;0,0,0,0,0,4;0,1,1,0,0,1;0,1,1,0,0,7;0,0,1,0,0,5;0,1,1,0,1,1;0,1,0,0,1,6;0,0,1,0,0,7;0,0,1,0,0,5;0,1,1,0,0,3;0,0,1,0,1,7;0,0,0,0,1,0;0,1,1,0,0,5;0,0,1,0,0,3
30	1,0,0,1,0,1	0,0,0,0,0,0;0,1,0,0,0,4;0,0,1,0,1,1;0,0,0,0,1,4;0,1,0,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,1,1,0,1,5;0,1,0,0,1,0;0,0,0,0,0,4;0,1,0,0,0,2;0,1,0,0,0,0;0,0,1,0,0,5;0,1,1,0,1,1;0,0,1,0,1,7;0,0,1,0,1,5;0,1,0,0,1,4;0,0,0,0,1,2;0,0,0,0,1,0;0,1,0,0,0,6;0,1,0,0,0,4;0,0,0,0,0,2;0,1,1,0,0,1;0,0,1,0,1,5;0,1,1,0,1,3;0,1,1,0,1,1;0,0,0,0,1,0;0,1,0,0,1,6;0,1,0,0,1,4;0,0,0,0,0,2;0,0,0,0,0,0;0,1,0,0,0,6;0,1,1,0,0,5;0,0,1,0,0,3;0,0,1,0,0,1;0,1,1,0,1,7;0,1,1,0,1,5;0,0,1,0,1,3;0,1,0,0,1,2;0,1,0,0,1,0;0,0,0,0,1,6;0,1,0,0,0,2;0,0,1,0,0,1;0,1,1,0,0,7;0,1,1,0,0,5;0,0,1,0,1,3;0,0,1,0,1,1;0,1,1,0,1,7;0,0,0,0,1,6;0,0,0,0,1,4;0,1,0,0,1,2;0,0,0,0,0,6;0,1,1,0,0,3;0,1,1,0,0,1;0,0,1,0,0,7;0,1,1,0,1,3;0,1,0,0,1,6;0,0,1,0,0,7;0,0,1,0,0,5;0,1,1,0,0,3;0,0,1,0,1,7;0,0,0,0,1,2;0,1,1,0,0,7;0,0,1,0,0,3
31	1,0,0,0,1,1	0,0,0,0,0,0;0,0,0,0,0,6;0,0,0,0,1,3;0,0,0,1,1,4;0,1,0,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,0,0,0,1,5;0,0,0,1,1,2;0,1,0,0,0,6;0,0,0,0,0,4;0,0,0,0,0,2;0,0,0,1,0,7;0,1,0,0,1,3;0,0,0,0,1,1;0,0,0,0,1,7;0,1,0,1,1,4;0,0,0,1,1,2;0,0,0,1,1,0;0,1,0,0,0,6;0,1,0,0,0,4;0,0,0,0,0,2;0,0,0,1,0,1;0,1,0,0,1,5;0,0,0,0,1,3;0,0,0,0,1,1;0,1,0,1,1,2;0,0,0,1,1,0;0,0,0,1,1,6;0,1,0,0,0,4;0,1,0,0,0,2;0,0,0,0,0,0;0,1,0,1,0,7;0,0,0,1,0,5;0,0,0,1,0,3;0,1,0,0,1,1;0,1,0,0,1,7;0,0,0,0,1,5;0,1,0,1,1,2;0,1,0,1,1,0;0,0,0,1,1,6;0,1,0,0,0,2;0,1,0,1,0,1;0,0,0,1,0,7;0,0,0,1,0,5;0,1,0,0,1,3;0,1,0,0,1,1;0,0,0,0,1,7;0,1,0,1,1,0;0,1,0,1,1,6;0,0,0,1,1,4;0,1,0,0,0,0;0,1,0,1,0,5;0,1,0,1,0,3;0,0,0,1,0,1;0,1,0,0,1,5;0,1,0,1,1,6;0,1,0,1,0,7;0,1,0,1,0,5;0,0,0,1,0,3;0,1,0,0,1,7;0,1,0,1,1,4;0,1,0,1,0,1;0,1,0,1,0,3
32	0,1,1,1,0,0	0,0,0,0,0,0;0,1,0,1,0,7;1,0,1,0,0,0;1,0,0,1,0,0;0,0,1,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,1,1,1,0,1;1,1,0,0,0,7;0,1,1,0,0,7;0,1,0,1,0,5;0,1,0,1,0,3;0,0,1,1,0,0;1,0,0,1,0,0;1,0,1,0,0,6;1,0,1,0,0,4;1,0,1,0,0,0;1,0,0,1,0,6;1,0,0,1,0,4;0,0,1,1,0,6;0,0,1,1,0,4;0,0,0,0,0,2;0,1,1,0,0,1;1,1,0,0,0,1;1,1,1,1,0,7;1,1,1,1,0,5;1,1,1,1,0,7;1,1,0,0,0,5;1,1,0,0,0,3;0,1,1,0,0,5;0,1,1,0,0,3;0,1,0,1,0,1;0,0,0,0,0,0;0,0,1,1,0,6;0,0,1,1,0,4;1,0,0,1,0,6;1,0,0,1,0,4;1,0,1,0,0,2;1,0,1,0,0,6;1,0,1,0,0,4;1,0,0,1,0,2;0,0,1,1,0,2;0,1,0,1,0,1;0,1,1,0,0,7;0,1,1,0,0,5;1,1,0,0,0,7;1,1,0,0,0,5;1,1,1,1,0,3;1,1,1,1,0,5;1,1,1,1,0,3;1,1,0,0,0,1;0,1,1,0,0,1;0,0,0,0,0,6;0,0,0,0,0,4;0,0,1,1,0,2;1,0,0,1,0,2;1,0,1,0,0,2;0,1,0,1,0,7;0,1,0,1,0,5;0,1,1,0,0,3;1,1,0,0,0,3;1,1,1,1,0,1;0,0,0,0,0,2;0,1,0,1,0,3
33	0,1,1,0,1,0	0,0,0,0,0,0;0,0,0,1,0,1;1,0,0,0,0,2;1,0,0,0,0,0;0,0,1,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,0,0,1,0,1;1,0,0,1,0,1;0,0,1,0,0,1;0,0,0,1,0,7;0,0,0,1,0,5;0,0,0,0,0,2;1,0,1,1,0,2;1,0,0,0,0,0;1,0,0,0,0,6;1,0,1,1,0,0;1,0,0,0,0,6;1,0,0,0,0,4;0,0,1,1,0,6;0,0,1,1,0,4;0,0,0,0,0,2;0,0,0,1,0,1;1,0,1,0,0,1;1,0,0,1,0,7;1,0,0,1,0,5;1,0,1,0,0,1;1,0,0,1,0,7;1,0,0,1,0,5;0,0,1,0,0,7;0,0,1,0,0,5;0,0,0,1,0,3;0,0,1,1,0,2;0,0,0,0,0,0;0,0,0,0,0,6;1,0,1,1,0,0;1,0,1,1,0,6;1,0,0,0,0,4;1,0,1,1,0,6;1,0,1,1,0,4;1,0,0,0,0,2;0,0,1,1,0,2;0,0,1,0,0,1;0,0,0,1,0,7;0,0,0,1,0,5;1,0,1,0,0,7;1,0,1,0,0,5;1,0,0,1,0,3;1,0,1,0,0,7;1,0,1,0,0,5;1,0,0,1,0,3;0,0,1,0,0,3;0,0,1,1,0,0;0,0,1,1,0,6;0,0,0,0,0,4;1,0,1,1,0,4;1,0,1,1,0,2;0,0,1,0,0,7;0,0,1,0,0,5;0,0,0,1,0,3;1,0,1,0,0,3;1,0,1,0,0,3;0,0,1,1,0,4;0,0,1,0,0,3
34	0,1,1,0,0,1	0,0,0,0,0,0;0,0,0,1,0,3;1,0,0,0,0,4;1,0,0,0,0,0;0,0,1,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,0,0,1,0,1;1,0,0,1,0,3;0,0,1,0,0,3;0,0,0,1,0,1;0,0,0,1,0,7;0,0,0,0,0,4;1,0,1,1,0,4;1,0,0,0,0,2;1,0,0,0,0,0;1,0,1,1,0,0;1,0,0,0,0,6;1,0,0,0,0,4;0,0,1,1,0,6;0,0,1,1,0,4;0,0,0,0,0,2;0,0,0,1,0,1;1,0,1,0,0,1;1,0,0,1,0,7;1,0,0,1,0,5;1,0,1,0,0,3;1,0,0,1,0,1;1,0,0,1,0,7;0,0,1,0,0,1;0,0,1,0,0,7;0,0,0,1,0,5;0,0,1,1,0,4;0,0,0,0,0,2;0,0,0,0,0,0;1,0,1,1,0,2;1,0,1,1,0,0;1,0,0,0,0,6;1,0,1,1,0,6;1,0,1,1,0,4;1,0,0,0,0,2;0,0,1,1,0,2;0,0,1,0,0,1;0,0,0,1,0,7;0,0,0,1,0,5;1,0,1,0,0,7;1,0,1,0,0,5;1,0,0,1,0,3;1,0,1,0,0,1;1,0,1,0,0,7;1,0,0,1,0,5;0,0,1,0,0,5;0,0,1,1,0,2;0,0,1,1,0,0;0,0,0,0,0,6;1,0,1,1,0,6;1,0,1,1,0,2;0,0,1,0,0,7;0,0,1,0,0,5;0,0,0,1,0,3;1,0,1,0,0,3;1,0,1,0,0,5;0,0,1,1,0,6;0,0,1,0,0,3
35	0,1,0,1,1,0	0,0,0,0,0,0;0,1,0,0,1,5;0,0,1,0,0,2;1,0,0,1,0,0;0,0,1,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,1,1,0,1,5;1,1,0,1,1,5;0,1,1,0,1,5;0,1,0,0,1,3;0,1,0,0,1,1;1,0,1,1,0,2;0,0,0,0,0,2;0,0,1,0,0,0;0,0,1,0,0,6;1,0,1,1,0,0;1,0,0,1,0,6;1,0,0,1,0,4;0,0,1,0,0,6;0,0,1,0,0,4;0,0,0,0,0,2;1,1,1,1,1,5;0,1,0,0,1,5;0,1,1,0,1,3;0,1,1,0,1,1;1,1,1,1,1,5;1,1,0,1,1,3;1,1,0,1,1,1;0,1,1,0,1,3;0,1,1,0,1,1;0,1,0,0,1,7;1,0,0,1,0,2;1,0,1,1,0,0;1,0,1,1,0,6;0,0,0,0,0,0;0,0,0,0,0,6;0,0,1,0,0,4;1,0,1,1,0,6;1,0,1,1,0,4;1,0,0,1,0,2;0,0,1,0,0,2;1,1,0,1,1,5;1,1,1,1,1,3;1,1,1,1,1,1;0,1,0,0,1,3;0,1,0,0,1,1;0,1,1,0,1,7;1,1,1,1,1,3;1,1,1,1,1,1;1,1,0,1,1,7;0,1,1,0,1,7;1,0,0,1,0,0;1,0,0,1,0,6;1,0,1,1,0,4;0,0,0,0,0,4;1,0,1,1,0,2;1,1,0,1,1,3;1,1,0,1,1,1;1,1,1,1,1,7;0,1,0,0,1,7;1,1,1,1,1,7;1,0,0,1,0,4;1,1,0,1,1,7
36	0,1,0,1,0,1	0,0,0,0,0,0;0,1,0,0,1,7;0,0,1,0,0,4;1,0,0,1,0,0;0,0,1,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,1,1,0,1,5;1,1,0,1,1,7;0,1,1,0,1,7;0,1,0,0,1,5;0,1,0,0,1,3;1,0,1,1,0,4;0,0,0,0,0,4;0,0,1,0,0,2;0,0,1,0,0,0;1,0,1,1,0,0;1,0,0,1,0,6;1,0,0,1,0,4;0,0,1,0,0,6;0,0,1,0,0,4;0,0,0,0,0,2;1,1,1,1,1,5;0,1,0,0,1,5;0,1,1,0,1,3;0,1,1,0,1,1;1,1,1,1,1,7;1,1,0,1,1,5;1,1,0,1,1,3;0,1,1,0,1,5;0,1,1,0,1,3;0,1,0,0,1,1;1,0,0,1,0,4;1,0,1,1,0,2;1,0,1,1,0,0;0,0,0,0,0,2;0,0,0,0,0,0;0,0,1,0,0,6;1,0,1,1,0,6;1,0,1,1,0,4;1,0,0,1,0,2;0,0,1,0,0,2;1,1,0,1,1,5;1,1,1,1,1,3;1,1,1,1,1,1;0,1,0,0,1,3;0,1,0,0,1,1;0,1,1,0,1,7;1,1,1,1,1,5;1,1,1,1,1,3;1,1,0,1,1,1;0,1,1,0,1,1;1,0,0,1,0,2;1,0,0,1,0,0;1,0,1,1,0,6;0,0,0,0,0,6;1,0,1,1,0,2;1,1,0,1,1,3;1,1,0,1,1,1;1,1,1,1,1,7;0,1,0,0,1,7;1,1,1,1,1,1;1,0,0,1,0,6;1,1,0,1,1,7
37	0,1,0,0,1,1	0,0,0,0,0,0;0,0,0,0,1,1;0,0,0,0,0,6;1,0,0,0,0,0;0,0,1,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,0,0,0,1,5;1,0,0,0,1,1;0,0,1,0,1,1;0,0,0,0,1,7;0,0,0,0,1,5;1,0,0,0,0,6;0,0,1,0,0,6;0,0,0,0,0,4;0,0,0,0,0,2;1,0,1,0,0,0;1,0,0,0,0,6;1,0,0,0,0,4;0,0,1,0,0,6;0,0,1,0,0,4;0,0,0,0,0,2;1,0,0,0,1,5;0,0,1,0,1,5;0,0,0,0,1,3;0,0,0,0,1,1;1,0,1,0,1,1;1,0,0,0,1,7;1,0,0,0,1,5;0,0,1,0,1,7;0,0,1,0,1,5;0,0,0,0,1,3;1,0,1,0,0,6;1,0,0,0,0,4;1,0,0,0,0,2;0,0,1,0,0,4;0,0,1,0,0,2;0,0,0,0,0,0;1,0,1,0,0,6;1,0,1,0,0,4;1,0,0,0,0,2;0,0,1,0,0,2;1,0,1,0,1,5;1,0,0,0,1,3;1,0,0,0,1,1;0,0,1,0,1,3;0,0,1,0,1,1;0,0,0,0,1,7;1,0,1,0,1,7;1,0,1,0,1,5;1,0,0,0,1,3;0,0,1,0,1,3;1,0,1,0,0,4;1,0,1,0,0,2;1,0,0,0,0,0;0,0,1,0,0,0;1,0,1,0,0,2;1,0,1,0,1,3;1,0,1,0,1,1;1,0,0,0,1,7;0,0,1,0,1,7;1,0,1,0,1,3;1,0,1,0,0,0;1,0,1,0,1,7
38	0,0,1,1,1,0	0,0,0,0,0,0;0,1,0,1,1,6;1,0,1,0,0,2;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,1,1,4;0,1,0,0,1,6;0,1,0,0,1,6;0,1,0,1,1,6;0,1,0,1,1,6;1,0,1,1,0,2;1,0,1,1,0,2;1,0,1,0,0,2;1,0,1,0,0,2;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,1,1,4;1,1,1,1,1,4;0,1,0,1,1,6;0,1,0,0,1,6;0,1,0,0,1,6;0,1,0,0,1,6;0,1,0,0,1,6;0,1,0,1,1,6;1,0,1,0,0,2;1,0,1,1,0,2;1,0,1,1,0,2;1,0,1,1,0,2;1,0,1,1,0,2;1,0,1,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,1,0,0;1,1,1,1,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,1,1,4;0,1,0,1,1,6;0,1,0,1,1,6;0,1,0,0,1,6;0,1,0,0,1,6;1,0,1,0,0,2;1,0,1,0,0,2;1,0,1,1,0,2;1,0,1,1,0,2;0,0,0,0,0,0;1,1,1,1,1,4;1,1,1,1,1,4;1,1,1,0,1,4;1,1,1,0,1,4;0,1,0,1,1,6;1,0,1,0,0,2;1,1,1,1,1,4
39	0,0,1,1,0,1	0,0,0,0,0,0;0,1,0,1,1,0;1,0,1,0,0,4;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,1,1,4;0,1,0,0,1,0;0,1,0,0,1,0;0,1,0,1,1,0;0,1,0,1,1,0;1,0,1,1,0,4;1,0,1,1,0,4;1,0,1,0,0,4;1,0,1,0,0,4;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,1,1,4;1,1,1,1,1,4;0,1,0,1,1,0;0,1,0,0,1,0;0,1,0,0,1,0;0,1,0,0,1,0;0,1,0,0,1,0;0,1,0,1,1,0;1,0,1,0,0,4;1,0,1,1,0,4;1,0,1,1,0,4;1,0,1,1,0,4;1,0,1,1,0,4;1,0,1,0,0,4;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,1,0,0;1,1,1,1,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,1,1,4;0,1,0,1,1,0;0,1,0,1,1,0;0,1,0,0,1,0;0,1,0,0,1,0;1,0,1,0,0,4;1,0,1,0,0,4;1,0,1,1,0,4;1,0,1,1,0,4;0,0,0,0,0,0;1,1,1,1,1,4;1,1,1,1,1,4;1,1,1,0,1,4;1,1,1,0,1,4;0,1,0,1,1,0;1,0,1,0,0,4;1,1,1,1,1,4
40	0,0,1,0,1,1	0,0,0,0,0,0;0,0,0,1,1,2;1,0,0,0,0,6;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,0,0,1,1,4;0,0,0,1,1,2;0,0,0,0,1,2;0,0,0,1,1,2;0,0,0,1,1,2;1,0,0,0,0,6;1,0,0,1,0,6;1,0,0,0,0,6;1,0,0,0,0,6;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;1,0,0,1,1,4;1,0,0,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;0,0,0,0,1,2;0,0,0,1,1,2;0,0,0,1,1,2;0,0,0,0,1,2;0,0,0,0,1,2;0,0,0,1,1,2;1,0,0,1,0,6;1,0,0,0,0,6;1,0,0,0,0,6;1,0,0,1,0,6;1,0,0,1,0,6;1,0,0,0,0,6;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,1,0,0;1,0,0,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;1,0,0,0,1,4;1,0,0,0,1,4;1,0,0,1,1,4;0,0,0,0,1,2;0,0,0,0,1,2;0,0,0,1,1,2;0,0,0,0,1,2;1,0,0,1,0,6;1,0,0,1,0,6;1,0,0,0,0,6;1,0,0,1,0,6;0,0,0,1,0,0;1,0,0,0,1,4;1,0,0,0,1,4;1,0,0,1,1,4;1,0,0,0,1,4;0,0,0,0,1,2;1,0,0,1,0,6;1,0,0,0,1,4
41	0,0,0,1,1,1	0,0,0,0,0,0;0,1,0,0,0,6;0,0,1,0,0,6;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,0,0,0;0,1,0,1,0,6;0,1,0,0,0,6;0,1,0,0,0,6;0,1,0,0,0,6;0,0,1,1,0,6;0,0,1,0,0,6;0,0,1,0,0,6;0,0,1,0,0,6;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,1,0,0;0,1,1,0,0,0;0,1,1,0,0,0;0,1,1,0,0,0;0,1,0,1,0,6;0,1,0,1,0,6;0,1,0,1,0,6;0,1,0,0,0,6;0,1,0,0,0,6;0,1,0,0,0,6;0,0,1,1,0,6;0,0,1,1,0,6;0,0,1,1,0,6;0,0,1,0,0,6;0,0,1,0,0,6;0,0,1,0,0,6;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;0,1,1,1,0,0;0,1,1,1,0,0;0,1,1,1,0,0;0,1,1,0,0,0;0,1,1,0,0,0;0,1,1,0,0,0;0,1,0,1,0,6;0,1,0,1,0,6;0,1,0,1,0,6;0,1,0,0,0,6;0,0,1,1,0,6;0,0,1,1,0,6;0,0,1,1,0,6;0,0,1,0,0,6;0,0,0,1,0,0;0,1,1,1,0,0;0,1,1,1,0,0;0,1,1,1,0,0;0,1,1,0,0,0;0,1,0,1,0,6;0,0,1,1,0,6;0,1,1,1,0,0
42	1,1,1,1,0,0	0,0,0,0,0,0;0,1,0,1,0,7;1,0,1,0,1,3;1,0,0,0,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,1,1,4;1,1,0,1,1,3;0,0,1,0,0,7;0,1,0,1,0,7;0,1,0,1,0,7;0,0,1,0,0,7;1,1,0,1,1,3;1,0,1,0,1,3;1,0,1,0,1,3;1,1,1,1,1,4;1,0,0,0,1,4;1,0,0,0,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,1,1,1,1,4;1,1,1,1,1,4;1,0,1,0,1,3;1,1,0,1,1,3;1,1,0,1,1,3;0,0,1,0,0,7;0,0,1,0,0,7;0,1,0,1,0,7;0,1,0,1,0,7;0,0,1,0,0,7;0,0,1,0,0,7;1,1,0,1,1,3;1,1,0,1,1,3;1,0,1,0,1,3;1,1,1,1,1,4;1,1,1,1,1,4;1,0,0,0,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,1,1,1,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,0,0,0,1,4;1,1,1,1,1,4;1,0,1,0,1,3;1,0,1,0,1,3;1,1,0,1,1,3;0,0,1,0,0,7;0,1,0,1,0,7;0,1,0,1,0,7;0,0,1,0,0,7;1,1,0,1,1,3;1,1,1,1,1,4;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,0,1,0,1,3;0,1,0,1,0,7;0,0,0,0,0,0
43	1,1,1,0,1,0	0,0,0,0,0,0;0,0,0,1,0,1;1,0,0,0,1,5;1,0,0,1,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,0,0,1,1,4;1,0,0,0,1,5;0,1,1,0,0,1;0,0,0,1,0,1;0,0,0,1,0,1;0,0,0,1,0,1;1,1,1,1,1,5;1,0,0,0,1,5;1,0,0,0,1,5;1,1,1,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;1,1,1,1,1,5;1,0,0,0,1,5;1,0,0,0,1,5;0,1,1,0,0,1;0,1,1,0,0,1;0,0,0,1,0,1;0,1,1,0,0,1;0,0,0,1,0,1;0,0,0,1,0,1;1,1,1,1,1,5;1,1,1,1,1,5;1,0,0,0,1,5;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,1,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,1,1,4;1,1,1,1,1,5;1,1,1,1,1,5;1,0,0,0,1,5;0,1,1,0,0,1;0,1,1,0,0,1;0,1,1,0,0,1;0,0,0,1,0,1;1,1,1,1,1,5;1,1,1,0,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,1,1,5;0,1,1,0,0,1;0,1,1,1,0,0
44	1,1,1,0,0,1	0,0,0,0,0,0;0,0,0,1,0,3;1,0,0,0,1,7;1,0,0,1,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,0,0,1,1,4;1,0,0,0,1,7;0,1,1,0,0,3;0,0,0,1,0,3;0,0,0,1,0,3;0,0,0,1,0,3;1,1,1,1,1,7;1,0,0,0,1,7;1,0,0,0,1,7;1,1,1,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;1,1,1,1,1,7;1,0,0,0,1,7;1,0,0,0,1,7;0,1,1,0,0,3;0,1,1,0,0,3;0,0,0,1,0,3;0,1,1,0,0,3;0,0,0,1,0,3;0,0,0,1,0,3;1,1,1,1,1,7;1,1,1,1,1,7;1,0,0,0,1,7;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,1,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,1,1,4;1,1,1,1,1,7;1,1,1,1,1,7;1,0,0,0,1,7;0,1,1,0,0,3;0,1,1,0,0,3;0,1,1,0,0,3;0,0,0,1,0,3;1,1,1,1,1,7;1,1,1,0,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,1,1,7;0,1,1,0,0,3;0,1,1,1,0,0
45	1,1,0,1,1,0	0,0,0,0,0,0;0,1,0,0,1,5;0,0,1,0,1,5;1,0,0,0,1,4;0,1,1,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,0,0,0;1,1,0,0,0,1;0,0,1,0,1,5;0,1,0,0,1,5;0,1,0,0,1,5;1,0,1,0,0,1;0,1,0,0,1,5;0,0,1,0,1,5;0,0,1,0,1,5;1,1,1,0,1,4;1,0,0,0,1,4;1,0,0,0,1,4;0,1,1,0,0,0;0,1,1,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;0,0,0,0,0,0;0,1,1,0,0,0;0,1,1,0,0,0;1,0,1,0,0,1;1,1,0,0,0,1;1,1,0,0,0,1;0,0,1,0,1,5;0,0,1,0,1,5;0,1,0,0,1,5;1,1,0,0,0,1;1,0,1,0,0,1;1,0,1,0,0,1;0,1,0,0,1,5;0,1,0,0,1,5;0,0,1,0,1,5;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,0,1,4;0,1,1,0,0,0;1,0,0,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,0,0,0;1,0,1,0,0,1;1,0,1,0,0,1;1,1,0,0,0,1;0,0,1,0,1,5;1,1,0,0,0,1;1,1,0,0,0,1;1,0,1,0,0,1;0,1,0,0,1,5;1,1,1,0,1,4;1,0,0,0,1,4;1,0,0,0,1,4;1,1,1,0,1,4;0,0,0,0,0,0;1,0,1,0,0,1;1,1,0,0,0,1;1,0,0,0,1,4
